id,phone,salary,credit_score,age,city,job,is_fraud
1,19072335562,47459,644,52,Shanghai,Designer,True
2,17308050359,43514,662,44,Shanghai,Designer,False
3,17737270347,74786,792,26,Shanghai,Engineer,False
4,19180297029,54903,630,50,Shanghai,Manager,False
5,19868437815,49555,693,29,Shenzhen,Developer,True
6,15473471683,14929,816,47,Beijing,Manager,False
7,13227318351,26369,662,41,Guangzhou,Designer,False
8,15132353418,29775,684,31,Beijing,Developer,False
9,18981255388,44722,845,35,Beijing,Designer,False
10,17519263698,42063,741,47,Shanghai,Engineer,False
11,15830554873,32259,683,43,Shenzhen,Manager,False
12,17039576110,65376,842,28,Shanghai,Manager,False
13,18291382625,49344,739,49,Beijing,Developer,True
14,13514465769,9949,808,50,Guangzhou,Designer,False
15,17382268419,38548,726,37,Shanghai,Developer,False
16,13194466181,27548,645,37,Beijing,Engineer,False
17,13836871830,70517,737,25,Shanghai,Developer,False
18,18922800150,45053,703,29,Guangzhou,Developer,True
19,15309081529,20772,767,45,Beijing,Manager,False
20,15650882248,72419,636,35,Beijing,Developer,False
21,19965379485,72141,737,55,Shanghai,Designer,False
22,17875185576,51766,586,57,Shanghai,Engineer,False
23,15861104587,35864,710,34,Shenzhen,Designer,False
24,17967659915,62874,667,41,Shanghai,Engineer,False
25,13960777761,23398,639,32,Guangzhou,Manager,False
26,17999761549,59815,667,35,Guangzhou,Designer,False
27,18091515414,29881,834,53,Guangzhou,Engineer,False
28,18399084565,75062,638,44,Shanghai,Engineer,False
29,15347116273,12587,658,45,Shanghai,Developer,False
30,15334105630,73710,690,55,Shenzhen,Manager,False
31,19601169844,32337,773,22,Shanghai,Manager,False
32,17070621803,47904,580,46,Shenzhen,Developer,False
33,17217840067,55033,745,32,Beijing,Engineer,False
34,17200355954,20479,751,30,Guangzhou,Developer,True
35,18166782663,12890,793,24,Guangzhou,Engineer,False
36,13208475762,78279,591,58,Guangzhou,Designer,False
37,13522158212,35155,754,39,Beijing,Designer,False
38,13445779670,46337,644,42,Shenzhen,Developer,False
39,15738863030,58753,593,43,Guangzhou,Designer,False
40,18677179968,19381,755,45,Shanghai,Developer,True
41,19908937603,20635,603,42,Beijing,Developer,True
42,19271367159,25583,729,50,Shenzhen,Designer,False
43,15517075825,59127,705,30,Shenzhen,Engineer,False
44,13967594948,57217,775,36,Shenzhen,Designer,False
45,13765349660,43661,741,36,Guangzhou,Manager,False
46,13775754897,44451,588,26,Beijing,Manager,False
47,18423595832,54890,790,28,Beijing,Manager,False
48,17380844463,40073,664,58,Shanghai,Designer,False
49,19934903319,67197,652,24,Beijing,Developer,False
50,18451168023,20091,729,32,Guangzhou,Developer,False
51,19008689213,79400,601,34,Shenzhen,Manager,True
52,17018574803,78216,707,40,Shanghai,Manager,True
53,15724590705,76672,654,34,Guangzhou,Engineer,False
54,18014494440,75947,834,46,Guangzhou,Manager,False
55,17525095470,42884,731,39,Guangzhou,Designer,False
56,13090496628,60722,727,33,Shanghai,Designer,False
57,17403905040,72656,677,25,Shenzhen,Manager,False
58,15475861050,23481,636,46,Guangzhou,Developer,False
59,17154308997,46344,752,46,Beijing,Manager,False
60,18797569611,30537,797,27,Shenzhen,Manager,False
61,15633403713,38627,763,39,Shanghai,Developer,False
62,13286468533,52983,694,42,Shenzhen,Designer,False
63,13287978844,25793,695,56,Shanghai,Engineer,False
64,19913383025,39106,704,26,Guangzhou,Developer,False
65,18097640250,31325,686,25,Shenzhen,Developer,False
66,13462530204,66955,678,41,Shenzhen,Developer,False
67,17662421142,47084,796,24,Beijing,Developer,False
68,15483109930,24997,721,32,Shanghai,Designer,False
69,15828076046,53773,608,56,Guangzhou,Designer,False
70,13303103979,16256,836,49,Beijing,Engineer,True
71,13612678595,74010,611,31,Shanghai,Developer,False
72,19204611288,13797,639,52,Shenzhen,Manager,False
73,17957251314,56151,665,37,Guangzhou,Manager,False
74,18276167618,53735,739,23,Guangzhou,Developer,False
75,17727434764,72756,744,22,Shanghai,Manager,False
76,19418202735,30430,676,32,Beijing,Designer,False
77,17364575803,77743,654,42,Shenzhen,Developer,False
78,19712077833,53299,807,56,Guangzhou,Engineer,False
79,15007909441,74607,773,32,Guangzhou,Manager,False
80,17873245646,35114,758,36,Beijing,Designer,False
81,18384439673,56776,624,34,Guangzhou,Developer,False
82,19575766322,15608,829,48,Shenzhen,Designer,False
83,15775917398,15608,846,55,Shenzhen,Engineer,False
84,18121955610,69162,591,58,Beijing,Engineer,False
85,19415409469,77555,626,34,Shanghai,Engineer,False
86,19356989528,15573,794,36,Shanghai,Engineer,False
87,18574985321,54042,768,27,Shanghai,Developer,False
88,13014984732,39928,692,57,Shanghai,Designer,False
89,13920505030,8670,780,22,Guangzhou,Developer,False
90,19598828371,49963,753,34,Guangzhou,Engineer,False
91,13057210194,56931,684,57,Shenzhen,Developer,False
92,18354529694,23155,584,36,Beijing,Engineer,False
93,15464998367,41347,583,53,Beijing,Manager,True
94,15375077162,34604,677,54,Guangzhou,Developer,False
95,15128335849,66322,705,55,Shenzhen,Developer,False
96,13827838555,41661,615,23,Guangzhou,Engineer,False
97,13798103721,64983,752,27,Shenzhen,Engineer,False
98,19453647621,27399,746,35,Shenzhen,Developer,False
99,18778445665,8080,628,50,Shanghai,Manager,False
100,19162660472,72781,719,46,Guangzhou,Designer,False
