id,phone,salary,credit_score,age,city,job,is_fraud,risk_level
1,13729436709,19673,720,44,Hangzhou,Developer,False,Medium
2,15197178450,41204,625,54,Beijing,Analyst,True,High
3,15983555588,55377,754,52,Xian,Designer,False,Low
4,15036176563,42608,669,31,Hangzhou,Analyst,False,Medium
5,18228814894,76106,680,24,Chengdu,Designer,True,Medium
6,18585058380,76417,847,45,Wuhan,Developer,False,Low
7,13101633085,29789,636,31,Guangzhou,Manager,True,High
8,18206013130,77452,828,47,Beijing,Analyst,False,Low
9,13954561099,10339,809,52,Guangzhou,Engineer,False,Low
10,19816857947,68679,720,33,Shanghai,Analyst,False,Medium
11,13760849958,78312,719,41,Wuhan,Consultant,False,Medium
12,19973412796,35355,659,39,Beijing,Analyst,False,Medium
13,13092662644,27039,792,31,Shenzhen,Developer,False,Low
14,15967653611,10364,690,23,Hangzhou,Designer,False,Medium
15,13580301470,57279,632,58,Chengdu,Engineer,True,High
16,18598022053,48405,581,25,Shenzhen,Developer,True,High
17,15102536516,78555,637,49,Shenzhen,Analyst,True,High
18,18292126294,50319,624,47,Beijing,Analyst,True,High
19,18187557997,39877,796,26,Chengdu,Consultant,False,Low
20,18037721539,41420,788,46,Shenzhen,Director,False,Low
21,19058314586,59789,699,35,Chengdu,Analyst,True,Medium
22,18983678803,30562,747,56,Hangzhou,Engineer,False,Medium
23,17765238506,56628,825,38,Chengdu,Manager,False,Low
24,17224192281,71985,675,57,Wuhan,Designer,True,Medium
25,13379419557,34347,678,30,Hangzhou,Director,False,Medium
26,18125482277,35438,760,51,Xian,Consultant,False,Low
27,17546913807,77569,772,22,Shenzhen,Manager,False,Low
28,15302489397,35333,710,23,Shanghai,Engineer,False,Medium
29,19406349972,67770,602,25,Wuhan,Analyst,True,High
30,19766022969,52920,692,52,Beijing,Manager,True,Medium
31,19442238320,54061,602,54,Guangzhou,Manager,True,High
32,15837976313,28028,687,39,Wuhan,Designer,False,Medium
33,19727387020,66263,592,52,Chengdu,Director,True,High
34,17672897839,76448,703,41,Chengdu,Analyst,False,Medium
35,13440351051,44796,767,28,Guangzhou,Analyst,False,Low
36,13837310845,70609,631,47,Xian,Designer,True,High
37,15197117883,23154,804,23,Wuhan,Consultant,False,Low
38,19230007583,63031,836,39,Wuhan,Designer,False,Low
39,19760004964,13352,774,57,Shanghai,Manager,False,Low
40,17988401164,67810,673,29,Shanghai,Analyst,True,Medium
41,17517773279,63168,782,41,Shenzhen,Designer,False,Low
42,13614145944,45169,823,51,Guangzhou,Developer,False,Low
43,13296565197,19879,660,31,Shenzhen,Engineer,False,Medium
44,15018234030,70264,600,36,Chengdu,Designer,True,High
45,18874224553,59014,755,36,Shanghai,Director,False,Low
46,13057111516,17643,716,38,Beijing,Consultant,False,Medium
47,13020615504,77813,710,37,Xian,Designer,False,Medium
48,13613096415,35765,586,46,Wuhan,Developer,True,High
49,18266920773,41645,703,23,Shanghai,Consultant,False,Medium
50,15939398703,31116,814,35,Wuhan,Manager,False,Low
51,15408938863,68697,778,56,Chengdu,Analyst,False,Low
52,13219017889,66100,644,26,Xian,Engineer,True,High
53,15685764462,79036,596,42,Beijing,Director,True,High
54,13328656584,45560,798,51,Beijing,Designer,False,Low
55,18558824057,29628,659,30,Chengdu,Engineer,False,Medium
56,17327618183,34568,724,57,Shanghai,Developer,False,Medium
57,15714832064,50415,845,25,Shanghai,Designer,False,Low
58,17105857185,36322,830,39,Wuhan,Engineer,False,Low
59,18406049724,25858,690,29,Wuhan,Director,False,Medium
60,17114825346,28829,839,44,Chengdu,Consultant,False,Low
61,17348521876,18905,585,28,Beijing,Engineer,True,High
62,13030047023,17786,796,24,Wuhan,Analyst,False,Low
63,18866379194,43182,609,56,Hangzhou,Analyst,True,High
64,15674784745,53459,831,52,Chengdu,Manager,False,Low
65,15702627779,17100,580,41,Chengdu,Developer,True,High
66,15742591201,63225,615,52,Guangzhou,Developer,True,High
67,18307160559,34861,817,53,Shanghai,Manager,False,Low
68,15723991665,52004,849,27,Shanghai,Designer,False,Low
69,18492035354,22493,767,56,Beijing,Director,False,Low
70,17505844288,43276,685,56,Xian,Designer,False,Medium
71,18781127829,73743,713,24,Shenzhen,Developer,False,Medium
72,13436081085,61810,674,38,Guangzhou,Consultant,True,Medium
73,13547813046,60743,699,45,Shanghai,Director,True,Medium
74,17660143324,27740,621,26,Guangzhou,Engineer,True,High
75,13543229435,52940,589,41,Shenzhen,Designer,True,High
76,17950026325,26088,794,33,Beijing,Analyst,False,Low
77,17575863942,41181,734,36,Beijing,Designer,False,Medium
78,15484546395,24019,636,44,Xian,Manager,True,High
79,17952418139,23308,661,46,Shenzhen,Manager,False,Medium
80,19806788807,73780,787,34,Shanghai,Consultant,False,Low
81,18850572520,56905,759,34,Chengdu,Consultant,False,Low
82,18759867270,68186,701,47,Shanghai,Consultant,False,Medium
83,18361849103,25209,604,23,Shanghai,Designer,True,High
84,19485845597,37453,800,34,Chengdu,Developer,False,Low
85,18842940490,71601,746,52,Beijing,Consultant,False,Medium
86,19989423720,11322,596,42,Shanghai,Manager,True,High
87,19372114862,62342,735,50,Shanghai,Analyst,False,Medium
88,15132583008,15612,773,52,Chengdu,Consultant,False,Low
89,19425023498,57421,830,40,Wuhan,Designer,False,Low
90,13611971109,54428,686,49,Hangzhou,Analyst,True,Medium
91,19974432345,67037,720,55,Chengdu,Manager,False,Medium
92,17949803884,57326,775,54,Wuhan,Developer,False,Low
93,18363771294,70295,850,28,Guangzhou,Consultant,False,Low
94,19691472333,73738,743,41,Beijing,Consultant,False,Medium
95,15000355465,44526,685,32,Hangzhou,Manager,False,Medium
96,13777578996,78153,581,50,Guangzhou,Engineer,True,High
97,17606080458,23185,718,51,Beijing,Director,False,Medium
98,17621158141,79606,671,57,Guangzhou,Developer,True,Medium
99,17107245802,61828,617,30,Shenzhen,Engineer,True,High
100,19067170794,29755,617,41,Beijing,Director,True,High
101,17012066756,20288,599,38,Chengdu,Director,True,High
102,17632596921,39823,678,56,Guangzhou,Director,False,Medium
103,19225414071,39856,685,37,Guangzhou,Director,False,Medium
104,19679757918,72737,774,29,Xian,Consultant,False,Low
105,13954725825,38527,769,36,Shanghai,Consultant,False,Low
106,18559885282,35345,792,57,Shanghai,Designer,False,Low
107,18190165245,79498,690,25,Xian,Manager,True,Medium
108,18270771159,67242,688,34,Wuhan,Developer,True,Medium
109,13895658008,53463,799,23,Wuhan,Consultant,False,Low
110,19581446933,72799,789,42,Hangzhou,Engineer,False,Low
111,18011271508,8011,771,38,Guangzhou,Director,False,Low
112,18562500688,10876,842,27,Guangzhou,Director,False,Low
113,19270689893,28629,848,57,Guangzhou,Manager,False,Low
114,13417303932,9784,705,39,Hangzhou,Engineer,False,Medium
115,17467835614,54008,816,29,Shenzhen,Developer,False,Low
116,13523136265,73341,630,22,Xian,Engineer,True,High
117,13343978174,66000,666,25,Wuhan,Analyst,True,Medium
118,19759374452,67025,733,38,Guangzhou,Engineer,False,Medium
119,19918930409,20614,646,33,Guangzhou,Developer,True,High
120,15963416507,63742,640,23,Hangzhou,Manager,True,High
121,13272116244,67459,735,48,Chengdu,Designer,False,Medium
122,17020441646,23808,691,53,Hangzhou,Designer,False,Medium
123,15292433644,30924,639,41,Guangzhou,Engineer,True,High
124,18163891777,23746,635,55,Xian,Director,True,High
125,15295837763,72356,752,42,Hangzhou,Manager,False,Low
126,17152809586,66558,802,56,Hangzhou,Consultant,False,Low
127,18405364174,67419,618,47,Wuhan,Analyst,True,High
128,18789136523,36677,725,24,Wuhan,Manager,False,Medium
129,13183452554,15890,655,58,Guangzhou,Engineer,False,Medium
130,15751373741,15038,846,26,Beijing,Designer,False,Low
131,19549036077,8650,706,36,Hangzhou,Engineer,False,Medium
132,13379214393,73367,787,55,Shenzhen,Engineer,False,Low
133,19302625727,37673,719,39,Shenzhen,Designer,False,Medium
134,13261552247,28110,725,37,Shanghai,Analyst,False,Medium
135,17782287042,66780,821,24,Wuhan,Consultant,False,Low
136,13721016251,73900,738,27,Shenzhen,Designer,False,Medium
137,19226754888,39402,813,39,Xian,Director,False,Low
138,17554951326,54793,812,29,Xian,Consultant,False,Low
