id,phone,salary,credit_score,age,city,job,is_fraud
1,18871696308,63582,799,51,Guangzhou,Designer,False
2,19779082835,43572,779,38,Shanghai,Engineer,False
3,13398623629,27176,698,31,Guangzhou,Manager,False
4,19022756303,17530,701,31,Guangzhou,Designer,False
5,18908116115,26095,787,23,Shanghai,Manager,False
6,13919866790,40790,821,57,Guangzhou,Developer,False
7,19575977804,79459,843,27,Guangzhou,Designer,False
8,18133968932,43955,606,34,Guangzhou,Designer,False
9,15233964276,77290,758,46,Shenzhen,Designer,False
10,15050640669,42398,603,56,Guangzhou,Designer,False
11,17145252956,47319,848,23,Guangzhou,Developer,False
12,19590140449,40892,795,54,Guangzhou,Designer,False
13,18138249874,20464,786,50,Shanghai,Manager,False
14,13155045874,27330,674,28,Beijing,Manager,False
15,13375694092,24056,641,46,Shenzhen,Manager,False
16,13394807470,52743,631,45,Beijing,Developer,True
17,15996324777,40398,627,28,Shanghai,Developer,True
18,17993732988,75374,713,25,Beijing,Engineer,False
19,17819350987,48692,623,48,Shenzhen,Manager,False
20,18153198608,59829,711,58,Guangzhou,Manager,False
21,17425805574,47071,655,52,Guangzhou,Engineer,False
22,15402369629,31808,759,56,Shanghai,Designer,False
23,17121703374,52988,673,26,Shanghai,Designer,True
24,15078210917,15451,831,23,Beijing,Manager,False
25,15755623116,75639,620,50,Guangzhou,Engineer,False
26,15549509419,62078,704,29,Shanghai,Designer,False
27,13104123117,52630,648,51,Shenzhen,Developer,False
28,17632660449,66205,748,58,Beijing,Engineer,False
29,15511023234,58383,728,32,Shenzhen,Manager,False
30,19348564245,52780,648,29,Guangzhou,Designer,False
31,18283211921,52460,601,47,Shanghai,Designer,False
32,18907828740,67071,631,30,Shenzhen,Designer,False
33,13044956847,21223,837,53,Shanghai,Developer,False
34,13145002542,8545,778,38,Beijing,Manager,False
35,17309490388,15270,801,49,Beijing,Manager,False
36,18913335482,45638,820,57,Beijing,Engineer,False
37,13496333141,69602,726,23,Beijing,Designer,False
38,13185951272,23913,611,23,Shanghai,Manager,False
39,18177772003,58998,705,49,Shanghai,Engineer,False
40,13263137429,46616,763,39,Beijing,Designer,False
41,18761857583,51541,810,37,Beijing,Developer,False
42,18631783201,50397,724,25,Shanghai,Developer,False
43,19800073916,23852,845,51,Shanghai,Engineer,False
44,18653349628,35601,763,35,Beijing,Manager,False
45,13560316842,33983,594,41,Guangzhou,Designer,False
46,17672791711,24207,587,34,Shenzhen,Designer,False
47,13895467229,50367,615,54,Guangzhou,Engineer,False
48,15790592814,16667,847,25,Shenzhen,Engineer,False
49,19326349881,65507,678,25,Beijing,Engineer,False
50,17049943310,68780,729,55,Shanghai,Engineer,False
51,18344257495,66414,799,53,Guangzhou,Engineer,True
52,18332502843,54150,630,50,Shanghai,Manager,False
53,18824112198,40545,807,36,Shanghai,Manager,False
54,19298508735,17693,668,53,Guangzhou,Engineer,False
55,15773673145,11915,716,57,Guangzhou,Developer,False
56,19228916270,13829,661,40,Shanghai,Manager,False
57,15254115530,50387,630,29,Shanghai,Manager,False
58,15129827826,59649,646,44,Beijing,Designer,False
59,13400751541,26563,840,53,Shenzhen,Manager,True
60,15374474770,40686,739,27,Beijing,Designer,False
61,17736393803,52056,654,24,Guangzhou,Manager,False
62,17417488033,14765,682,22,Beijing,Engineer,False
63,18999482888,40285,847,45,Beijing,Engineer,True
64,18066464510,56690,648,41,Beijing,Engineer,False
65,17349393124,30500,666,27,Shenzhen,Developer,False
66,15042197766,43056,633,46,Shanghai,Developer,False
67,19178534496,59902,625,37,Beijing,Engineer,False
68,13735377103,11793,639,53,Shenzhen,Engineer,False
69,13668686553,55733,730,56,Beijing,Manager,False
70,15118720628,23179,632,53,Shanghai,Engineer,False
71,15317943358,78137,672,36,Shenzhen,Engineer,False
72,17257617602,46043,599,28,Shanghai,Developer,False
73,15830092599,19434,661,29,Shanghai,Designer,True
74,18271474849,20682,823,25,Beijing,Engineer,False
75,17918327238,10957,766,54,Shanghai,Engineer,False
76,19490237758,40447,606,48,Shenzhen,Designer,False
77,19952627963,29172,743,27,Shenzhen,Manager,True
78,15532694741,58388,819,32,Guangzhou,Developer,False
79,13452456955,45496,831,44,Guangzhou,Manager,False
80,15539900719,9573,735,32,Shanghai,Designer,False
81,19341225132,37497,807,26,Shanghai,Engineer,False
82,13159587804,40218,779,40,Beijing,Developer,False
83,15135002784,51741,769,31,Beijing,Engineer,False
84,15838718829,62972,700,43,Guangzhou,Engineer,False
85,19426935374,15922,752,51,Guangzhou,Developer,False
86,13998797766,68726,592,35,Shanghai,Engineer,False
87,15231995655,65280,675,46,Shenzhen,Manager,False
88,18356000065,40279,714,22,Shanghai,Designer,False
89,15002531992,67879,622,52,Shenzhen,Developer,False
90,15512833341,17068,622,41,Beijing,Designer,True
91,18612897859,52691,618,33,Guangzhou,Designer,False
92,18870484405,64031,675,37,Beijing,Manager,False
93,18636582317,14355,714,28,Shanghai,Designer,False
94,19657820349,70319,692,36,Beijing,Developer,False
95,13312775720,72182,839,38,Beijing,Engineer,False
96,17072610534,73771,585,26,Guangzhou,Engineer,False
97,17499834311,73288,819,52,Shenzhen,Developer,False
98,15961630817,47817,711,37,Beijing,Developer,False
99,17127361279,20976,637,31,Shanghai,Designer,False
100,13060330714,69298,800,46,Beijing,Engineer,False
